org,ts,esn,gpn,ufs,changeover,first,result,prep_plus_main (min)
G1,2024-05-20 16:52:32,3472459576,010-02976-64,Micron Dorado-A 256GB,0,1,1,40.51
G1,2024-05-20 16:56:49,3472459598,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.92
G1,2024-05-20 16:57:39,3472456392,010-02976-64,Micron Dorado-A 256GB,0,1,1,42.12
G1,2024-05-20 16:59:00,3472459521,010-02976-64,Micron Dorado-A 256GB,0,1,1,44.13
G1,2024-05-20 17:02:14,3472459539,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.86
G1,2024-05-20 17:02:40,3472459713,010-02976-64,Micron Dorado-A 256GB,0,1,1,40.38
G1,2024-05-20 17:05:38,3472459536,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.19
G1,2024-05-20 17:06:20,3472460598,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.43
G1,2024-05-20 17:06:44,3467427003,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.92
G1,2024-05-20 17:07:29,3467427014,010-02976-64,Micron Dorado-A 256GB,0,1,1,42.89
G1,2024-05-20 17:07:49,3467427006,010-02976-64,Micron Dorado-A 256GB,0,1,1,43.75
G1,2024-05-20 17:07:56,3472460228,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.6
G1,2024-05-20 17:08:41,3472459734,010-02976-64,Micron Dorado-A 256GB,0,1,1,42.1
G1,2024-05-20 17:09:51,3472459541,010-02976-64,Micron Dorado-A 256GB,0,1,1,45.06
G1,2024-05-20 17:10:10,3472460155,010-02976-62,Micron Dorado-A 256GB,0,1,1,44.16
G1,2024-05-20 17:10:41,3472459555,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.36
G1,2024-05-20 17:10:50,3472459545,010-02976-64,Micron Dorado-A 256GB,0,1,1,41.05
G1,2024-05-20 17:11:56,3472460161,010-02976-62,Micron Dorado-A 256GB,0,1,1,48.08
G1,2024-05-20 17:12:24,3472460177,010-02976-62,Micron Dorado-A 256GB,0,1,1,45.11
